model,dataset,task,representation,hop,complexity_bin,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,FS,1hop,Low,532,0.7593984962406015,0.7593984962406015,0.7593984962406015,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,FS,1hop,Medium,442,0.8619909502262444,0.8619909502262444,0.8619909502262444,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,FS,2hop,High,82,0.7073170731707317,0.7073170731707317,0.7073170731707317,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,FS,2hop,Low,534,0.9344569288389513,0.9344569288389513,0.9344569288389513,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,FS,2hop,Medium,446,0.820627802690583,0.820627802690583,0.820627802690583,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,NL,1hop,High,4,0.5,0.5,0.5,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,NL,1hop,Low,532,0.8665413533834586,0.8665413533834586,0.8665413533834586,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,NL,1hop,Medium,442,0.5429864253393665,0.5429864253393665,0.5466063348416289,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,NL,2hop,High,82,0.5,0.5,0.4329268292682927,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,NL,2hop,Low,534,0.5767790262172284,0.5767790262172284,0.5284644194756554,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,NL,2hop,Medium,446,0.5605381165919282,0.5605381165919282,0.5475336322869955,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,AR,1hop,High,48,0.5833333333333334,0.6846891534391535,0.7055224867724869,48,1,253,45,0.17786561264822134,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,AR,1hop,Low,351,0.6296296296296297,0.6586894586894586,0.766951566951567,351,38,419,118,0.28162291169451076,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,AR,1hop,Medium,90,0.3333333333333333,0.4355555555555556,0.4355555555555556,90,0,197,43,0.2182741116751269,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,AR,2hop,High,50,0.02,0.20549868432221374,0.25349868432221373,50,1,153,111,0.7254901960784313,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,AR,2hop,Low,391,0.2608695652173913,0.29042205015857037,0.3396547867314604,391,9,867,718,0.8281430219146482,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,AR,2hop,Medium,90,0.05555555555555555,0.1786451819785153,0.20086740420073754,90,0,171,115,0.672514619883041,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,FS,1hop,High,48,0.3958333333333333,0.46567460317460313,0.46567460317460313,48,0,232,94,0.4051724137931034,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,FS,1hop,Low,351,0.43304843304843305,0.43874643874643876,0.43874643874643876,351,0,432,241,0.5578703703703703,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,FS,1hop,Medium,90,0.2222222222222222,0.25222222222222224,0.25222222222222224,90,0,200,106,0.53,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,FS,2hop,High,50,0.26,0.36484848484848487,0.36484848484848487,50,0,239,128,0.5355648535564853,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,FS,2hop,Low,391,0.4578005115089514,0.46462063086104005,0.46462063086104005,391,0,505,265,0.5247524752475248,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,FS,2hop,Medium,90,0.2,0.2505114638447972,0.2505114638447972,90,0,178,84,0.47191011235955055,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,NL,1hop,High,48,0.5833333333333334,0.7316220238095238,0.7316220238095238,48,0,244,16,0.06557377049180328,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,NL,1hop,Low,351,0.6011396011396012,0.6248812915479582,0.7445394112060778,351,42,376,91,0.24202127659574468,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,NL,1hop,Medium,90,0.3333333333333333,0.44904761904761903,0.44904761904761903,90,0,199,40,0.20100502512562815,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,NL,2hop,High,50,0.0,0.16816017316017315,0.2526046176046176,50,1,95,65,0.6842105263157895,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,NL,2hop,Low,391,0.1278772378516624,0.17127024722932652,0.3512361466325661,391,18,568,482,0.8485915492957746,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,NL,2hop,Medium,90,0.1111111111111111,0.18599511599511598,0.3304395604395604,90,1,186,125,0.6720430107526881,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,AR,1hop,High,112,0.5,0.5,0.5044642857142857,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,AR,1hop,Low,98,0.9795918367346939,0.9795918367346939,0.9795918367346939,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,AR,1hop,Medium,120,0.7583333333333333,0.7583333333333333,0.7583333333333333,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,AR,2hop,High,112,0.5,0.5,0.5,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,AR,2hop,Low,98,0.826530612244898,0.826530612244898,0.826530612244898,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,AR,2hop,Medium,120,0.7083333333333334,0.7083333333333334,0.7083333333333334,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,FS,1hop,High,112,0.5089285714285714,0.5089285714285714,0.5089285714285714,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,FS,1hop,Low,98,1.0,1.0,1.0,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,FS,1hop,Medium,120,0.6166666666666667,0.6166666666666667,0.6166666666666667,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,FS,2hop,High,112,0.48214285714285715,0.48214285714285715,0.48214285714285715,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,FS,2hop,Low,98,0.5816326530612245,0.5816326530612245,0.5816326530612245,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,FS,2hop,Medium,120,0.8166666666666667,0.8166666666666667,0.8166666666666667,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,NL,1hop,High,112,0.5,0.5,0.5133928571428571,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,NL,1hop,Low,98,0.9897959183673469,0.9897959183673469,0.9897959183673469,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,NL,1hop,Medium,120,0.5083333333333333,0.5083333333333333,0.5083333333333333,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,NL,2hop,High,112,0.5,0.5,0.5089285714285714,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,NL,2hop,Low,98,0.6224489795918368,0.6224489795918368,0.6224489795918368,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,NL,2hop,Medium,120,0.5333333333333333,0.5333333333333333,0.545,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,AR,1hop,High,59,0.5932203389830508,0.5932203389830508,0.8813559322033898,59,17,241,7,0.029045643153526972,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,AR,1hop,Low,23,1.0,1.0,1.0,23,0,56,0,0.0,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,AR,1hop,Medium,83,0.3253012048192771,0.3253012048192771,0.3614457831325301,83,3,171,53,0.30994152046783624,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,AR,2hop,High,58,0.5517241379310345,0.7654805267327953,0.7999632853534849,58,2,410,5,0.012195121951219513,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,AR,2hop,Low,23,1.0,1.0,1.0,23,0,56,0,0.0,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,AR,2hop,Medium,84,0.2976190476190476,0.31772486772486774,0.31772486772486774,84,0,260,150,0.5769230769230769,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,FS,1hop,High,59,0.8305084745762712,0.8305084745762712,0.8305084745762712,59,0,353,31,0.08781869688385269,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,FS,1hop,Low,23,0.4782608695652174,0.4782608695652174,0.4782608695652174,23,0,56,30,0.5357142857142857,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,FS,1hop,Medium,83,0.30120481927710846,0.30120481927710846,0.30120481927710846,83,0,232,126,0.5431034482758621,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,FS,2hop,High,58,0.603448275862069,0.750855274564104,0.750855274564104,58,0,320,8,0.025,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,FS,2hop,Low,23,0.7391304347826086,0.9304347826086956,0.9304347826086956,23,0,50,0,0.0,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,FS,2hop,Medium,84,0.20238095238095238,0.27040816326530615,0.27040816326530615,84,0,193,111,0.5751295336787565,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,NL,1hop,High,59,0.4067796610169492,0.4354317998385795,0.7744148506860371,59,20,221,60,0.27149321266968324,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,NL,1hop,Low,23,0.6086956521739131,0.6086956521739131,0.6956521739130435,23,2,51,15,0.29411764705882354,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,NL,1hop,Medium,83,0.21686746987951808,0.2216867469879518,0.34216867469879514,83,10,144,61,0.4236111111111111,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,NL,2hop,High,58,0.0,0.007946384785398067,0.43380845375091526,58,12,266,256,0.9624060150375939,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,NL,2hop,Low,23,0.0,0.0,0.23043478260869565,23,0,121,121,1.0,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,NL,2hop,Medium,84,0.0,0.13214285714285715,0.2726190476190476,84,5,137,114,0.8321167883211679,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,AR,1hop,High,140,0.5,0.5,0.5,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,AR,1hop,Low,126,0.9920634920634921,0.9920634920634921,0.9920634920634921,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,AR,1hop,Medium,146,0.6712328767123288,0.6712328767123288,0.6712328767123288,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,AR,2hop,High,140,0.5,0.5,0.5,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,AR,2hop,Low,128,0.734375,0.734375,0.734375,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,AR,2hop,Medium,144,0.7152777777777778,0.7152777777777778,0.7152777777777778,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,FS,1hop,High,140,0.5,0.5,0.5,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,FS,1hop,Low,126,1.0,1.0,1.0,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,FS,1hop,Medium,146,0.5753424657534246,0.5753424657534246,0.5753424657534246,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,FS,2hop,High,140,0.5,0.5,0.5,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,FS,2hop,Low,128,0.578125,0.578125,0.578125,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,FS,2hop,Medium,144,0.7708333333333334,0.7708333333333334,0.7708333333333334,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,NL,1hop,High,140,0.5071428571428571,0.5071428571428571,0.5207142857142858,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,NL,1hop,Low,126,1.0,1.0,1.0,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,NL,1hop,Medium,146,0.5,0.5,0.5034246575342466,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,NL,2hop,High,140,0.5,0.5,0.5142857142857142,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,NL,2hop,Low,128,0.5859375,0.5859375,0.5859375,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,NL,2hop,Medium,144,0.5416666666666666,0.5416666666666666,0.5416666666666666,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,AR,1hop,High,86,0.7441860465116279,0.7441860465116279,0.9534883720930233,86,18,480,4,0.008333333333333333,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,AR,1hop,Low,21,1.0,1.0,1.0,21,0,53,0,0.0,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,AR,1hop,Medium,99,0.29292929292929293,0.29292929292929293,0.31313131313131315,99,2,194,68,0.35051546391752575,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,AR,2hop,High,86,0.4069767441860465,0.6552836052836053,0.6937848972732693,86,4,340,20,0.058823529411764705,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,AR,2hop,Low,21,0.7142857142857143,0.8999999999999999,0.8999999999999999,21,0,44,0,0.0,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,AR,2hop,Medium,99,0.26262626262626265,0.295959595959596,0.30404040404040406,99,0,312,189,0.6057692307692307,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,FS,1hop,High,86,0.872093023255814,0.872093023255814,0.872093023255814,86,0,539,49,0.09090909090909091,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,FS,1hop,Low,21,0.47619047619047616,0.47619047619047616,0.47619047619047616,21,0,53,30,0.5660377358490566,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,FS,1hop,Medium,99,0.2727272727272727,0.2727272727272727,0.2727272727272727,99,0,269,154,0.5724907063197026,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,FS,2hop,High,86,0.7325581395348837,0.8502583979328165,0.8502583979328165,86,0,440,6,0.013636363636363636,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,FS,2hop,Low,21,0.5238095238095238,0.8841269841269841,0.8841269841269841,21,0,42,0,0.0,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,FS,2hop,Medium,99,0.15151515151515152,0.24663299663299665,0.24663299663299665,99,0,219,133,0.6073059360730594,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,NL,1hop,High,86,0.32558139534883723,0.3659085100945566,0.7612573473038589,86,34,387,187,0.48320413436692505,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,NL,1hop,Low,21,0.42857142857142855,0.42857142857142855,0.5238095238095238,21,2,48,26,0.5416666666666666,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,NL,1hop,Medium,99,0.2222222222222222,0.22727272727272727,0.2676767676767677,99,4,189,92,0.48677248677248675,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,NL,2hop,High,86,0.0,0.031658715961041535,0.44677499503080903,86,16,350,336,0.96,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,NL,2hop,Low,21,0.0,0.0380952380952381,0.3,21,0,86,84,0.9767441860465116,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,NL,2hop,Medium,99,0.0,0.17878787878787877,0.47575757575757577,99,6,172,136,0.7906976744186046,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,AR,1hop,High,90,0.5,0.5,0.5022222222222222,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,AR,1hop,Low,300,0.76,0.76,0.759,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,AR,1hop,Medium,864,0.6655092592592593,0.6655092592592593,0.6608796296296297,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,AR,2hop,High,90,0.5444444444444444,0.5444444444444444,0.54,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,AR,2hop,Low,300,0.5966666666666667,0.5966666666666667,0.5901666666666667,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,AR,2hop,Medium,864,0.6076388888888888,0.6076388888888888,0.6012152777777778,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,FS,1hop,High,90,0.8444444444444444,0.8444444444444444,0.8444444444444444,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,FS,1hop,Low,300,0.99,0.99,0.99,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,FS,1hop,Medium,864,0.9826388888888888,0.9826388888888888,0.9826388888888888,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,FS,2hop,High,90,0.7555555555555555,0.7555555555555555,0.7555555555555555,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,FS,2hop,Low,300,0.9,0.9,0.9,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,FS,2hop,Medium,864,0.8692129629629629,0.8692129629629629,0.8692129629629629,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,NL,1hop,High,90,0.6888888888888889,0.6888888888888889,0.6833333333333333,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,NL,1hop,Low,300,0.8166666666666667,0.8166666666666667,0.8075,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,NL,1hop,Medium,864,0.7951388888888888,0.7951388888888888,0.7894097222222222,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,NL,2hop,High,90,0.6222222222222222,0.6222222222222222,0.6133333333333334,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,NL,2hop,Low,300,0.69,0.69,0.6851666666666667,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,NL,2hop,Medium,864,0.6608796296296297,0.6608796296296297,0.6572916666666666,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,AR,1hop,High,70,0.15714285714285714,0.2941796298939156,0.38203677275105846,70,3,210,68,0.3238095238095238,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,AR,1hop,Low,454,0.21365638766519823,0.3202503321446053,0.44073491364240264,454,8,1027,812,0.7906523855890945,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,AR,1hop,Medium,103,0.11650485436893204,0.2882108183079057,0.38238557558945907,103,3,224,133,0.59375,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,AR,2hop,High,70,0.02857142857142857,0.10740132882990026,0.25097275740132885,70,0,1330,1286,0.9669172932330827,5
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,AR,2hop,Low,454,0.04405286343612335,0.0939448851221553,0.20826206573889539,454,0,5582,5491,0.9836975994267287,22
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,AR,2hop,Medium,103,0.0,0.06264447526583448,0.2043920480813685,103,0,3030,3014,0.9947194719471947,14
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,FS,1hop,High,70,0.44285714285714284,0.44285714285714284,0.44285714285714284,70,0,269,39,0.1449814126394052,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,FS,1hop,Low,454,0.8325991189427313,0.8775540172015943,0.8775540172015943,454,0,612,121,0.1977124183006536,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,FS,1hop,Medium,103,0.4368932038834951,0.4666666666666667,0.4666666666666667,103,0,216,58,0.26851851851851855,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,FS,2hop,High,70,0.3,0.3286734693877551,0.3286734693877551,70,0,224,62,0.2767857142857143,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,FS,2hop,Low,454,0.6651982378854625,0.7585755654037591,0.7623200587958298,454,0,829,390,0.4704463208685163,1
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,FS,2hop,Medium,103,0.2815533980582524,0.34551634988528196,0.34551634988528196,103,0,227,111,0.4889867841409692,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,NL,1hop,High,70,0.02857142857142857,0.2880023944309658,0.3222881087166802,70,0,256,116,0.453125,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,NL,1hop,Low,454,0.2599118942731278,0.36134522304951444,0.42191791027418407,454,0,1981,1753,0.8849066128218072,2
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,NL,1hop,Medium,103,0.04854368932038835,0.26886223745161497,0.3455612665778286,103,0,247,162,0.6558704453441295,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,NL,2hop,High,70,0.014285714285714285,0.10943392029858195,0.14443392029858199,70,0,493,443,0.8985801217038539,2
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,NL,2hop,Low,454,0.05947136563876652,0.1589448154111464,0.19848226034506716,454,0,2315,2181,0.9421166306695464,2
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,NL,2hop,Medium,103,0.02912621359223301,0.09420277672704858,0.1529406408047185,103,0,695,657,0.9453237410071943,1
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,AR,1hop,High,4,0.5,0.5,0.5,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,AR,1hop,Low,532,0.7857142857142857,0.7857142857142857,0.7859022556390978,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,AR,1hop,Medium,442,0.5950226244343891,0.5950226244343891,0.5933257918552036,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,AR,2hop,High,82,0.5121951219512195,0.5121951219512195,0.5103658536585366,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,AR,2hop,Low,534,0.5617977528089888,0.5617977528089888,0.5598314606741572,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,AR,2hop,Medium,446,0.4977578475336323,0.4977578475336323,0.5016816143497758,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,FS,1hop,High,4,1.0,1.0,1.0,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,FS,1hop,Low,532,0.9342105263157895,0.9342105263157895,0.9342105263157895,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,FS,1hop,Medium,442,0.8009049773755657,0.8009049773755657,0.8009049773755657,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,FS,2hop,High,82,0.5121951219512195,0.5121951219512195,0.5121951219512195,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,FS,2hop,Low,534,0.9438202247191011,0.9438202247191011,0.9438202247191011,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,FS,2hop,Medium,446,0.7847533632286996,0.7847533632286996,0.7847533632286996,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,NL,1hop,High,4,0.5,0.5,0.5,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,NL,1hop,Low,532,0.9492481203007519,0.9492481203007519,0.9489661654135338,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,NL,1hop,Medium,442,0.6470588235294118,0.6470588235294118,0.6471719457013575,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,NL,2hop,High,82,0.9390243902439024,0.9390243902439024,0.9347560975609757,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,NL,2hop,Low,534,0.649812734082397,0.649812734082397,0.64812734082397,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,NL,2hop,Medium,446,0.6816143497757847,0.6816143497757847,0.6821748878923767,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,AR,1hop,High,48,0.6041666666666666,0.6968419312169312,0.6989252645502645,48,0,273,60,0.21978021978021978,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,AR,1hop,Low,351,0.5527065527065527,0.6044408899109754,0.6119907474608329,351,0,1050,753,0.7171428571428572,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,AR,1hop,Medium,90,0.3333333333333333,0.4355555555555556,0.43722222222222223,90,0,263,109,0.4144486692015209,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,AR,2hop,High,50,0.02,0.21663837976122263,0.23386060198344485,50,0,351,290,0.8262108262108262,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,AR,2hop,Low,391,0.11253196930946291,0.19038597311679956,0.20939985094162872,391,0,1544,1403,0.908678756476684,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,AR,2hop,Medium,90,0.08888888888888889,0.21814814814814815,0.23203703703703704,90,0,233,161,0.6909871244635193,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,FS,1hop,High,48,0.625,0.7076058201058201,0.7076058201058201,48,0,236,15,0.0635593220338983,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,FS,1hop,Low,351,0.7521367521367521,0.7706552706552706,0.7707977207977208,351,0,486,145,0.29835390946502055,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,FS,1hop,Medium,90,0.3333333333333333,0.4355555555555556,0.4355555555555556,90,0,234,80,0.3418803418803419,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,FS,2hop,High,50,0.58,0.7289765636662189,0.7289765636662189,50,0,258,16,0.06201550387596899,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,FS,2hop,Low,391,0.6317135549872123,0.6751918158567775,0.6760869565217392,391,0,573,229,0.39965095986038396,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,FS,2hop,Medium,90,0.2111111111111111,0.32675805675805675,0.32675805675805675,90,0,223,109,0.48878923766816146,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,NL,1hop,High,48,0.625,0.7404100529100529,0.7560350529100529,48,0,251,23,0.09163346613545817,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,NL,1hop,Low,351,0.3789173789173789,0.46959727515283073,0.4807558696447585,351,1,832,577,0.6935096153846154,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,NL,1hop,Medium,90,0.3888888888888889,0.4795238095238095,0.4995238095238095,90,0,309,137,0.44336569579288027,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,NL,2hop,High,50,0.0,0.21299130371544167,0.22499130371544165,50,0,280,221,0.7892857142857143,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,NL,2hop,Low,391,0.08184143222506395,0.1483513630832873,0.16970686180451494,391,0,3378,3273,0.9689165186500888,7
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,NL,2hop,Medium,90,0.08888888888888889,0.21177655677655677,0.23233211233211234,90,0,629,561,0.8918918918918919,1
